acc_id,mechanical,op_error,employee
919824,,,
919975,,,
913881,,,
913942,,,
913943,,,
913944,,,
916975,,,
917125,,,
913941,,,
916105,TRUE,,
916108,,,
916111,,,
916112,,,
916115,,,
916116,,,
919362,,,
916164,,,
916479,,,
917124,,,
920033,,,
916122,,,
916124,,,
916166,,,
916478,,,
919758,,,
920015,,,
913940,,,
916102,,TRUE,
916109,,,
916165,,,
916477,,,
913989,,,
916103,,,
916123,,,
916475,,,
916476,,,
920032,,,
913879,,,
916101,,,
916764,,TRUE,
917123,,,
919358,,,
919702,,,
919798,,,
920040,,,
916119,,TRUE,
919768,,,
913884,,,
916104,,,
916234,,,
916474,,,
916765,,,
916974,,,
919701,,,
919766,,,
916100,,,
916235,,,
916470,,,
916471,,,
916472,,,
916473,,,
919700,,,
920169,,,
920183,,,
920191,,,
913996,,,
913997,,,
916097,,,
916118,,,
916469,,,
913905,,,
920014,,,
913886,,,
916096,TRUE,,
916468,,,
916771,,,
916772,,,
917122,,,
916094,,,
916095,,,
916466,,,
916467,,,
912470,,TRUE,TRUE
916770,,,
912471,,,
913869,,,
916465,,,
916768,,,
917121,,,
917733,,,
919742,,,
916464,,,
916973,,,
913906,,,
913992,,,
916090,,,
916091,,,
916088,,,
916099,TRUE,,
916463,,,
913901,,,
916085,,,
916460,,,
916461,,,
916462,,,
916971,,,
916972,,,
913902,,,
916084,,,
916093,,,
916459,,,
916775,,,
916801,,TRUE,
917120,,,
919888,,,
920252,,,
916080,,,
919741,,,
919761,,,
919765,,,
919820,,,
913903,,,
916082,,,
916145,,,
916738,,TRUE,
916970,,,
917172,TRUE,,
919871,,,
913939,,,
916081,,,
916086,TRUE,,
916087,TRUE,,
916457,,,
916969,,,
917119,TRUE,,
916089,,,
920184,,,
913938,,,
916083,,,
916456,,,
913935,,,
913936,,,
913937,,,
916455,,,
917196,,TRUE,
913876,,,
913934,,,
916078,,TRUE,
916453,,,
916454,,,
917160,,,
919703,,,
913900,TRUE,,
913932,,,
913933,,,
916079,,,
916098,,,
916451,,,
916452,,,
916077,,,
916450,,,
919371,,,
916737,TRUE,,
917118,,,
919951,,,
913898,,,
916074,,,
916449,,,
917408,,,
913925,,,
913931,,,
916448,,,
916857,,,
913871,,,
913899,,,
916063,,TRUE,
916066,,,
916068,,,
916727,,,
917117,,,
913872,TRUE,,
913930,,,
913995,,,
916072,,,
916968,,,
919771,,,
919797,,,
920020,,,
913928,,,
913929,,,
916064,TRUE,,
916065,TRUE,,
916075,,,
920061,,,
913924,,,
913926,,,
913927,,,
913998,,TRUE,TRUE
916067,,,
916076,,,
920080,,,
916446,,,
916447,,,
917114,,,
917115,,,
917116,,,
920022,,,
913895,,,
917113,,,
916444,,,
916445,,,
916967,,,
916061,TRUE,TRUE,
916062,,,
916073,TRUE,,
916440,,,
916441,,,
916442,,,
916443,,,
916966,,,
917112,,,
916071,TRUE,,
916092,,TRUE,
916439,,,
916848,,,
917111,,TRUE,
919783,,,
920024,,,
916965,,,
920021,,,
913896,,,
917108,,,
917109,,,
917110,,TRUE,
916046,,,
916053,TRUE,,
916055,,,
916438,,,
916964,,,
919377,,,
920013,,,
913923,,,
916048,,,
916050,,,
916051,TRUE,,
916052,TRUE,,
916069,,TRUE,
916434,,,
916435,,,
916436,,,
916437,,,
916047,,,
916056,,,
916057,,,
916429,,,
916430,,,
916431,,,
916432,,,
916433,,,
916822,TRUE,,
916963,,,
916070,,,
916961,,,
916962,,,
917107,,,
919760,,,
919770,,,
916060,TRUE,,
920276,,,
916821,,,
916960,,,
919773,,,
913897,,,
916428,,,
917024,,TRUE,
913892,,,
913893,,,
916218,,,
916427,,,
917106,,,
916426,,,
916045,,,
913894,,,
916424,,,
916425,,,
916959,,,
916043,,,
916044,TRUE,,
919693,,,
913890,,,
916958,,,
